Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),s3,S3 Standard,0,27.19,326.28,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),s3,S3 Standard - Infrequent Access,0,1.25,15.00,USD,S3 Infrequent Access storage (100 GB per month)
My Estimate,US East (N. Virginia),s3,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (10 GB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (N. Virginia),nat,Amazon Virtual Private Cloud (VPC),0,131.4,1576.80,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),cloudFront,Amazon CloudFront,0,1.43,17.16,USD,"Number of requests (HTTPS) (1000000 per month), Data transfer out to internet (5 GB per month)"
My Estimate,US East (N. Virginia),elb,Application Load Balancer,0,132.21,1586.52,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),ec2,Amazon EC2,0,3055.92,36671.04,USD,"Operating system (SUSE Linux Enterprise Server), Quantity (4), Pricing strategy (On-Demand Instances), Storage amount (2 TB), Instance type (m6g.4xlarge)"
My Estimate,US East (N. Virginia),rds,Amazon RDS for MySQL,0,2847.2,34166.40,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Quantity (2), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (20 TB)"
My Estimate,US East (N. Virginia),,Amazon Elastic Block Store (EBS),0,8.99,107.88,USD,"Number of volumes (1), Average duration each instance runs (730 hours per month), Storage amount per volume (30 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
